User,Post_Time,Tweet_Content,
andyglittle,13 Jul 2019 05:59:58,"We've loved being motivated by the stories of social prescribing initiatives from around the world. Continue the conversations with us @PennyBrohnUK's national conference in November, where we'll be discussing why we all need #morethanmedicine https://t.co/NtTQ1KVjOj https://t.co/f8T9jGuDVx",
andyglittle,05 Jul 2019 10:07:29,"Thanks for the shout-out on our #MorethanMedicine communications @EURACTIV @BrusselsGeek! 
Follow us on Twitter @animalhealthEU 
And read more here: https://t.co/Fu1IUq3T5W https://t.co/F7oQRtcwn2",
afparron,11 Jul 2019 09:50:48,#MorethanMedicine — Our Story  via ⁦@animalhealthEU⁩  https://t.co/I7MX8Yw5Fc,
drshahrul80,03 Aug 2019 15:20:48,"We hope to get some lovely weather on our annual 6 mile sponsored walk on Sat 12 Oct, so why not join us and register here if you would like to raise funds to help others live well with cancer. https://t.co/ddnrNCnBXa
#letswalktogether #stomp2019 #morethanmedicine https://t.co/OhqLAw6EE5",
karin_stowell,04 Aug 2019 14:20:46,This is what #MoreThanMedicine is about. Love it! https://t.co/44KfXMv8s4,
andyglittle,06 Jul 2019 06:04:40,"We just love a Farmers Market, so much so, that we are holding one for the second year running on Saturday 12 October 2019 in the gardens of our National Centre in Pill.  Please do pop along and join us.
#letswalktogether #morethanmedicine #farmersmarket https://t.co/ZV8EArXZ26",
afparron,18 Jul 2019 08:40:26,Last night we celebrated the opening of our wonderful #allotment cabin and said goodbye to our friend and colleague Dr Nick Lees.  He’s going off to work in #hackney and take our #morethanmedicine approach with him.  He’s not taking the scooter though! https://t.co/WqSdIYpmZ4,
cathcooney,10 Jul 2019 14:59:55,"I’ve got cancer, now what? Panel discussion with @catzollman Dr Aryan Tavakkoli Dr Nasha Winters and Mairead McDermott @trewfields #morethanmedicine https://t.co/WENrF0XEUy",
karin_stowell,27 Jul 2019 13:57:04,@somedocs @ShikhaJainMD @DrJaimeFriedman @usnehal @Dr_Stepheny @SadiaFMD @DrCJohns @RoxanneSukolMD @AlexMMTri @DrCorriel #EmergencyMedicine and #simulation doc and podcaster @EMOverEasy easy talking about #morethanmedicine,
dkalnow,02 Jul 2019 20:30:37,"Great stats shared at our French member @SIMV_RP’s annual conference:
64 new #vaccines since 2010!
#MorethanMedicine #SantéAnimale https://t.co/HM7Mj4jF5F",
alkhalilkouma,28 Aug 2019 12:17:59,"Zoonosen sind ein Risiko für Mensch und Tier❗️💉🐶🐱🐷🐮🐔
#Impfung #Tiergesundheit #AnimalHealthMatters #PetsareFamily #MorethanMedicine #zoonoses #Zoonosen https://t.co/uM5e2Asd5K",
seers_helen,05 Jul 2019 19:25:03,Solid episode our own @dkalnow and @andyglittle talking about 10 #TipsForNewDocs #Humanism #MoreThanMedicine https://t.co/CYN6l9Rb3n,
alkhalilkouma,13 Jul 2019 22:55:08,"Family, friends AND furry friends are all welcome to take part in our annual 6 mile sponsored walk on Sat 12 Oct from central Bristol, through the harbour, under the Suspension Bridge and along to our National Centre in Pill. https://t.co/ddnrNCnBXa #stomp2019 #morethanmedicine https://t.co/XKfxFeKIEg",
hanyshita,24 Jul 2019 11:40:26,"We know you agree that the welfare of farmed animals is important.
Beyond treating disease, here's how we help vets to ensure good animal welfare: 
#MorethanMedicine  ⬇️ https://t.co/2PFnSkZmoO",
,02 Jul 2019 20:56:39,"@stemagno74 @wcrfint @macmillancancer @NIHRresearch @DrPMitrou Our Treatment support clinic and whole life approach explore how food, physical activity, emotional and psychological support can empower us to make small and sustainable changes &amp; help us live well with cancer #morethanmedicine  https://t.co/MJtIzwsPf6",
dkalnow,25 Jul 2019 12:20:37,"For this Rebroadcast Listen as Andy and Drew chat with @EMSwami  to discuss the gut wrenching process of getting “A Letter” in your mailbox. #TipsForNewDocs  #MoreThanMedicine #FOAMed #MedTwitter

https://t.co/czlx3Ezpqy https://t.co/zgHUCBn5Z8",
cathcooney,10 Aug 2019 21:58:25,Let us continue to pray for Nicaragua and the needs that are being uncovered throughout the country. #MoreThanMedicine https://t.co/kAfnteH2g8,
roxanefeller,04 Jul 2019 07:27:58,"We offer several courses and cooking demonstrations, showing how healthy eating can support your health, but if you can’t attend or want to get started right away, you’ll find a few downloadable resources on our website #morethanmedicine https://t.co/sGDOSiTVU4",
drshahrul80,29 Jul 2019 10:11:35,"🐕 66 million dogs
🐈 74 million cats
🐇 21 million rabbits

We know you love your pets, here's how we can help you care for them
#MorethanMedicine https://t.co/7bR5W9mbIE",
roxanefeller,22 Aug 2019 11:37:13,Plan a fun family day out &amp, join us on our annual sponsored 6 mile walk on Sat 12 Oct - central Bristol to our National Centre in Pill. It's a real family friendly event plus you will be helping others live well with cancer.  https://t.co/ddnrNCnBXa #stomp2019 #morethanmedicine https://t.co/b84xAebukf
animalhealthEU,18 Jul 2019 09:15:56,"Studies in biology 🧬&amp; then agriculture👨‍🌾led @ElancoEU's Ralph Heuser to both a profession &amp; a passion ❤️ for #animalhealth.
And his family dog Russty plays an important reminder role as to why animal health is about so much #MorethanMedicine:
https://t.co/lHt4RTbxwo https://t.co/FaHagVMx1m",
dkalnow,12 Jul 2019 12:54:57,DC hospitals deliver more than just medical care. #MoreThanMedicine https://t.co/z4gTncWlYL,
alkhalilkouma,07 Jul 2019 22:15:01,"Listen as @MOX13 @andyglittle sit down w/ @APacitti @JohnCaseyDO to discuss truth verses dogma surrounding the 10,000 hour rule. 

#DeliberatePractice

https://t.co/aH762kkLOI

#MoreThanMedicine #Coaching #SoMeDocs #TipsForNewDocs https://t.co/qLwCTC8rml",
dkalnow,14 Aug 2019 14:06:17,Visit https://t.co/UfgMFbLIF8 to stay up to date with the voices of @MOX13 @dkalnow and @andyglittle for all things #MoreThanMedicine #SubscribeNow #podcast #FOAMed https://t.co/OGBCwEqtCp,
cathcooney,01 Aug 2019 01:24:50,Really informative read - focusing on funding preventive medicine (including social &amp, environmental factors) has the possibility to improve health outcomes AND reduce overall healthcare spending. #MoreThanMedicine https://t.co/Rqx2ONd6rR
drshahrul80,14 Jul 2019 22:07:19,No doubt that I have an incredible job in #EmergencyMedicine that is full of challenges and is beyond rewarding but weekends like this are a great reminder why we work as hard as we do. Love my #family!#morethanmedicine @emovereasy https://t.co/3tSLEmtuHF,
andyglittle,13 Jul 2019 13:00:48,For this rebroadcast listen as @dkalnow @MOX13 and @andyglittle discuss the sports psychology concept of #ConsistentBehavioralExpectations (E+R=O) https://t.co/GGmnTbl1BX #MoreThanMedicine #TipsForNewDocs https://t.co/YPBLG7kHuS,
alkhalilkouma,12 Jul 2019 11:41:24,@SP_HealthSport is doing an inquiry looking at social prescribing’s ability to address physical and mental wellbeing issues across Scotland. One for @HoCScot to feed in on? #MorethanMedicine @MargaretMcKeith @cathcooney @IanMWelsh @KramerGraham @YearofCare @LynneInnes1 @WaqaVicki,
charleskod,09 Aug 2019 20:59:53,"Why not join us for Stomp 2019, our annual 6 mile sponsroed walk on Sat 12 Oct 2019.  You will experience the many benefits of walking in a group as well as raise funds to help others live well with cancer.  https://t.co/ddnrNCnBXa
#letswalktogether #stomp2019 #morethanmedicine https://t.co/Nv7uE7r0Ai",
cathcooney,23 Aug 2019 16:50:45,"@EMDocMac @epmonthly @emresidents @ACOEPRSO @ACEPNow Yeah and serves as an unexpected disruption to not just the residents life but their significant other as well. I have learned though, that while these kind of bad things do happen, there's always a lot of good that come from it. #perspective #LifeLessons #morethanmedicine",
dkalnow,07 Jul 2019 21:02:09,"Fantastic to be listening to 8 amazing Stage 4 cancer “thrivers” at ⁦@trewfields⁩ Festival. All of them say how important emotional and psychological self-care is along with diet, physical activity, stress management etc. We all need #morethanmedicine ⁦@PennyBrohnUK⁩ https://t.co/HdTWXV58hL",
charleskod,08 Aug 2019 19:34:14,"We hope you are enjoying your summer with family &amp; friends.  Why not bring some of them along to Stomp 2019?  You can register today for our annual  6 mile sponsored walk on Sat 12 Oct 2019.  https://t.co/ddnrNCnBXa
#letswalktogether #stomp2019  #morethanmedicine https://t.co/N0oguj9xxk",
charleskod,10 Jul 2019 20:16:09,Equipping #vets with a wide range of solutions so that they can ensure good animal welfare means that #animalhealth is #MorethanMedicine. Keep following @animalhealthEU to find out more about how they are supporting the #veterinary profession in a holistic way https://t.co/6w5U6uGCVv,
afparron,16 Jul 2019 05:36:15,@animalhealthEU @LinkedIn @animalhealthEU : we’re about #MorethanMedicine - we’re about people ! #animalhealthmatters,
cathcooney,08 Jul 2019 21:04:07,"On night shifts, anytime you walk through an automatically opening door ALWAYS act like you are using the force to open the door. It will make you happier. #TipsForNewDocs #usetheforce #MoreThanMedicine https://t.co/CKt0uVvrxM",
cathcooney,11 Jul 2019 14:17:17,We're very excited to be at the second @SocialPrescrib2 conference and to hear from social prescribing initiatives from as far as Singapore and San Francisco! #morethanmedicine,
alkhalilkouma,22 Aug 2019 12:12:50,"@somedocs - Sharing experiences &amp; medical knowledge which should be available to all #FOAMed #MedEd 
- Being a good human (ie. Conveying values of respect, trust &amp; honesty) #morethanmedicine 
- Tips &amp; tricks in #education to better help whatever your profession is

@EMinMiami (👈 this guy)",
seers_helen,30 Aug 2019 00:49:54,What a great team ⁦@HealthSourceOH⁩ ⁦@Local12⁩ #morethanmedicine https://t.co/g2YzMDUpVA,
drshahrul80,15 Aug 2019 13:54:47,"Our young patients are ready for the procedure and much less nervous, and their parents and guardians are also less worried! This is what #MoreThanMedicine at @NYCHealthSystem/@BellevueHosp looks like. /3",
dkalnow,15 Jul 2019 12:41:03,"Day 2 of the @SocialPrescrib2 conference. @pennybrohnUK has been advocating #socialprescribing for nearly 40 years, last year we wrote about why social prescribing makes sense https://t.co/2Jv3P2Ij1a #morethanmedicine #socialprescribing2019 https://t.co/ibAEEy0BJb",
charleskod,15 Jul 2019 17:14:47,"The thoughts and feeling of wanting to commit suicide are real. Physicians are at risk. So, what is to be done? That is why we brought in experts @L_swish @EMTaba to discuss how we can help those who are at risk.

https://t.co/2nMoQ74xol

#MoreThanMedicine #PhysicianSuicide https://t.co/ss4JDdNYDd",
karin_stowell,02 Jul 2019 03:45:49,"Hope. . .with feathers! Today, we've provided more than 4,300 My Special Aflac Ducks, to children at 210 hospitals in 47 states, free of charge.  We're just getting started and won't stop until childhood cancer is eradicated. #morethanmedicine 
https://t.co/oAMHwJjTZc",
afparron,14 Jul 2019 23:51:26,I agree!!! #MoreThanMedicine https://t.co/EV6y3zUc9H https://t.co/JveVrFynoX,
seers_helen,28 Aug 2019 05:18:35,"Czy wiesz, że do bez leków dla zwierząt potrzeba by 89% więcej zwierząt do wyprodukowania tej samej ilości mleka i wołowiny?
#MoreThanMedicine https://t.co/SEtHxlV4p1",
karin_stowell,23 Aug 2019 11:15:07,"There are so many ways to protect animal health!
Our solutions are so much #MorethanMedicine ✅ https://t.co/uVFDXEsFux",
andyglittle,25 Jul 2019 12:03:17,"This July we'll be sharing the stories of our Board company members through our #MorethanMedicine campaign:
https://t.co/aAO0qA35j0
Get to know the people driving the future of #animalhealth &amp; learn more about what gets our tails wagging.",
afparron,01 Jul 2019 13:47:14,"After a great weekend at #rebellion19 we are back this month with our #TipsForNewDocs July, where we will be rebroadcasting the best from the past year as our crew takes a much needed break and transitions to the new academic year. #MoreThanMedicine #TipsForAllDocs https://t.co/MiQ6Er7PGa",
dkalnow,26 Aug 2019 17:16:10,Genetic information provided scant incremental value over an old-fashion interview and family history. -@rkaplan723 #MoreThanMedicine,
drshahrul80,10 Jul 2019 22:03:38,"SF Bay Area #cancer peeps, listen up: love &amp; parenting only become more complicated when you're a #cancer patient. Check out these 2 free workshops @UCSF_CRC. #thisiscancer #morethanmedicine https://t.co/RroWlnjTW3",
afparron,18 Jul 2019 08:43:22,We know pets are good for people. We have #MorethanMedicine to help keep your pet happy and healthy all its life. https://t.co/DMTy4BuVpD,
cathcooney,30 Jul 2019 19:56:09,For our final rebroadcast of 2019 (brand new content out next Monday!) listen as Drew and Andy discuss some words of wisdom with Eric Cortez! #RockYourShift #MoreThanMedicine #TipsForNewDocs https://t.co/A2DI8KVWBY,
seers_helen,24 Jul 2019 11:50:39,"Healthy animals produce nutrient-rich fish, meat, eggs and dairy products. We’re supporting @animalhealthEU’s #MoreThanMedicine campaign to raise awareness on why and how #animalhealth can be improved https://t.co/H5cG53YWkd",
cathcooney,31 Jul 2019 14:05:01,"#MorethanMedicine What does this mean? 🤔
By protecting #animalhealth, our solutions also help to ensure that you can enjoy a safe supply of delicious animal-sourced foods! 🥛🥚🥩 https://t.co/U0U2wiI6r3",
roxanefeller,22 Aug 2019 12:07:38,"@animalhealthEU 
A study showed that without #animalmedicines, we would need 89% more cattle to produce the same amount of milk &amp; beef! 🐄🥛🥩
✅ Our industry provides a range of solutions to ensure good #animalhealth management on farms
#MorethanMedicine https://t.co/jgfaIaHRaK",
andyglittle,18 Jul 2019 09:09:22,"Our summer newsletter is out!
Read all about our #MorethanMedicine project, meet the people behind the #animalhealth industry in Europe &amp; check out our #petcare tips!
▶️https://t.co/SqilXtD6xG https://t.co/J1r9ViYhPa",
alkhalilkouma,21 Jul 2019 13:40:46,"Some diseases that animals are affected by, can be a risk for people too ⚠️

➡️ Keeping animals healthy also helps to protect your health #MorethanMedicine https://t.co/xpljC60aFL",
charleskod,04 Aug 2019 11:17:16,"Vaccines help to prevent illness, but what else can we do to protect our animals?
⬇️ Here's a few more solutions:
#MorethanMedicine https://t.co/fna2Cj387c",
animalhealthEU,22 Jul 2019 13:15:38,"Another face behind our industry, another story, another profile but same passion ! 
Read about our Treasurer @DominiqueDerveaux  because his passion is #morethanmedicine and for him #animalhealthmatters everyday ! https://t.co/9TI6yHTXZf",
karin_stowell,07 Aug 2019 10:50:29,"Impfen schützt!💉🐕🐈🐄🐖🐎🐔
Der beste Weg zu mehr Tiergesundheit: Krankheiten vermeiden
Lesen Sie unsere 📰Pressemitteilung: https://t.co/7W26yG0Oja
#Impfung #Tiergesundheit #AnimalHealthMatters #PetsareFamily #MorethanMedicine",
dkalnow,27 Aug 2019 19:35:45,"Thank you @crtaylor33 and @forbes for spotlighting our My Special Aflac Duck.  Hope. . .with feathers  #morethanmedicine 
My Special AFLAC Duck: A Gold Standard For CSR Programs via @forbes https://t.co/RNoqDsnFWH",
